Name,Popularity
Drampa,15
Dhelmise,24
Jangmo-O,3
Hakamo-O,4
Kommo-O,14
Tapu-Koko,10
Tapu-Lele,4
Tapu-Bulu,2
Tapu-Fini,2
Cosmog,10
Cosmoem,1
Solgaleo,12
Lunala,11
Nihilego,11
Buzzwole,19
Pheromosa,10
Xurkitree,21
Celesteela,8
Kartana,11
Guzzlord,15
Necrozma,23
Magearna,7
Marshadow,29
Poipole,9
Naganadel,9
Stakataka,13
Blacephalon,8
Zeraora,17
Meltan,3
Melmetal,13
